logged_at,player,team,elapsed_seconds,started_at,completed_at
2026-06-16T09:13:25.797922+00:00,Green Auto,green,36.78,2026-06-16T09:12:49.014615+00:00,2026-06-16T09:13:25.797902+00:00
2026-06-16T10:14:33.956034+00:00,Purple Auto,purple,28.67,2026-06-16T10:14:05.288245+00:00,2026-06-16T10:14:33.956027+00:00
2026-06-16T10:15:06.648186+00:00,Green Auto,green,81.4,2026-06-16T10:13:45.251007+00:00,2026-06-16T10:15:06.648179+00:00
2026-06-16T10:15:07.413388+00:00,Purple Auto,purple,17.26,2026-06-16T10:14:50.150532+00:00,2026-06-16T10:15:07.413383+00:00
2026-06-16T14:58:23.088649+00:00,Kaur,green,11.84,2026-06-16T14:58:11.250728+00:00,2026-06-16T14:58:23.088641+00:00
2026-06-16T15:35:20.699060+00:00,123,purple,76.54,2026-06-16T15:34:04.159902+00:00,2026-06-16T15:35:20.699053+00:00
2026-06-16T15:35:22.010937+00:00,123,green,39.44,2026-06-16T15:34:42.566538+00:00,2026-06-16T15:35:22.010932+00:00
2026-06-18T06:14:30.854471+00:00,123,purple,247.27,2026-06-18T06:10:23.585973+00:00,2026-06-18T06:14:30.854466+00:00
2026-06-18T06:21:09.262857+00:00,123,purple,42.7,2026-06-18T06:20:26.560992+00:00,2026-06-18T06:21:09.262847+00:00
2026-06-18T06:21:13.942380+00:00,123,green,28.89,2026-06-18T06:20:45.055214+00:00,2026-06-18T06:21:13.942368+00:00
2026-06-18T07:45:45.737280+00:00,sten miroslav,green,76.18,2026-06-18T07:44:29.556250+00:00,2026-06-18T07:45:45.737273+00:00
2026-06-18T07:45:48.850844+00:00,123,purple,76.69,2026-06-18T07:44:32.160223+00:00,2026-06-18T07:45:48.850841+00:00
2026-06-18T07:47:35.229909+00:00,sten miroslav,green,78.31,2026-06-18T07:46:16.921925+00:00,2026-06-18T07:47:35.229904+00:00
2026-06-18T07:47:36.418622+00:00,123,purple,76.38,2026-06-18T07:46:20.033732+00:00,2026-06-18T07:47:36.418617+00:00
2026-06-18T07:50:55.428759+00:00,aleksei,purple,59.93,2026-06-18T07:49:55.503117+00:00,2026-06-18T07:50:55.428747+00:00
2026-06-18T07:50:57.559974+00:00,sten miroslav,green,63.85,2026-06-18T07:49:53.712156+00:00,2026-06-18T07:50:57.559969+00:00
2026-06-18T08:12:42.243411+00:00,deniss,purple,92.56,2026-06-18T08:11:09.687591+00:00,2026-06-18T08:12:42.243405+00:00
2026-06-18T08:12:44.155954+00:00,sten miroslav,green,147.47,2026-06-18T08:10:16.685039+00:00,2026-06-18T08:12:44.155948+00:00
2026-06-18T08:16:54.725547+00:00,deniss,purple,116.35,2026-06-18T08:14:58.370834+00:00,2026-06-18T08:16:54.725541+00:00
2026-06-18T08:16:55.329630+00:00,sten miroslav,green,117.42,2026-06-18T08:14:57.905229+00:00,2026-06-18T08:16:55.329623+00:00
2026-06-18T08:31:49.040775+00:00,gleb,purple,237.3,2026-06-18T08:27:51.743792+00:00,2026-06-18T08:31:49.040768+00:00
2026-06-18T08:31:49.722376+00:00,Yarik,green,31.16,2026-06-18T08:31:18.564883+00:00,2026-06-18T08:31:49.722370+00:00
2026-06-18T08:35:08.941089+00:00,gleb,purple,76.46,2026-06-18T08:33:52.481377+00:00,2026-06-18T08:35:08.941079+00:00
2026-06-18T09:31:44.776303+00:00,gleb,purple,2153.94,2026-06-18T08:55:50.840175+00:00,2026-06-18T09:31:44.776298+00:00
2026-06-18T10:06:59.561587+00:00,gazan67,purple,221.84,2026-06-18T10:03:17.721558+00:00,2026-06-18T10:06:59.561581+00:00
2026-06-18T10:07:00.132579+00:00,gazan67,green,223.76,2026-06-18T10:03:16.368302+00:00,2026-06-18T10:07:00.132574+00:00
2026-06-18T10:08:08.588707+00:00,gazan67,purple,50.68,2026-06-18T10:07:17.909910+00:00,2026-06-18T10:08:08.588702+00:00
2026-06-18T10:08:09.522956+00:00,gazan67,green,51.55,2026-06-18T10:07:17.974981+00:00,2026-06-18T10:08:09.522949+00:00
2026-06-18T10:09:43.705114+00:00,gazan67,purple,78.37,2026-06-18T10:08:25.331016+00:00,2026-06-18T10:09:43.705111+00:00
2026-06-18T10:09:44.364322+00:00,gazan67,green,78.7,2026-06-18T10:08:25.662779+00:00,2026-06-18T10:09:44.364311+00:00
2026-06-18T10:19:40.038188+00:00,Daniel,green,84.28,2026-06-18T10:18:15.754273+00:00,2026-06-18T10:19:40.038184+00:00
2026-06-18T10:19:40.780994+00:00,Yarik,purple,90.87,2026-06-18T10:18:09.910465+00:00,2026-06-18T10:19:40.780984+00:00
2026-06-18T10:22:31.835298+00:00,Yarik,purple,139.56,2026-06-18T10:20:12.270888+00:00,2026-06-18T10:22:31.835287+00:00
2026-06-18T10:22:32.427169+00:00,Daniel,green,140.13,2026-06-18T10:20:12.300510+00:00,2026-06-18T10:22:32.427162+00:00
2026-06-18T10:24:05.109794+00:00,Yarik,purple,65.19,2026-06-18T10:22:59.916166+00:00,2026-06-18T10:24:05.109789+00:00
2026-06-18T10:24:05.716657+00:00,Daniel,green,66.89,2026-06-18T10:22:58.827700+00:00,2026-06-18T10:24:05.716653+00:00
2026-06-18T11:05:15.782041+00:00,gazan67,green,48.9,2026-06-18T11:04:26.885529+00:00,2026-06-18T11:05:15.782032+00:00
2026-06-18T11:05:16.527620+00:00,gazan67,purple,48.31,2026-06-18T11:04:28.220612+00:00,2026-06-18T11:05:16.527614+00:00
